date,avg_hourly_temperature,precipitation,avg_hourly_pressure_station,solar_radiation
2019-07-26,0.8714915332869404,0.0,0.681908548707753,0.8121052631578947
2019-07-25,0.8380886105311993,0.0,0.5984095427435392,0.8600928792569659
2019-07-24,0.7784736720018557,0.0,0.5526838966202767,0.8214241486068111
2019-07-23,0.782417072604964,0.0,0.4731610337972185,0.7652631578947368
2019-07-22,0.7736024124333101,0.0,0.48508946322067814,0.4847368421052632
2019-07-21,0.9248434237995824,0.0,0.3936381709741532,0.7655727554179567
2019-07-20,0.9440964973324054,0.02278481012658228,0.3638170974155095,0.7203715170278637
2019-07-19,0.9413129204360937,0.0,0.37375745526838955,0.6617956656346748
2019-07-18,0.8292739503595453,0.0,0.5069582504970178,0.885046439628483
2019-07-17,0.8970076548364648,0.0,0.47117296222663896,0.6384210526315789
2019-07-16,0.8731152864764555,0.0,0.4831013916500986,0.605015479876161
2019-07-15,0.8037578288100209,0.0,0.580516898608348,0.8639009287925696
2019-07-14,0.7919276270006959,0.0,0.5268389662027815,0.6872136222910217
2019-07-13,0.8237067965669218,0.03417721518987342,0.4413518886679917,0.7039628482972136
2019-07-12,0.810484806309441,0.0,0.39165009940358075,0.49424148606811147
2019-07-11,0.8427279053583855,0.2392405063291139,0.3956262425447328,0.38089783281733747
2019-07-10,0.8784504755277198,0.0,0.5328031809145131,0.859938080495356
2019-07-09,0.852702389236836,0.0,0.5666003976143159,0.8811145510835913
2019-07-08,0.8039897935513802,0.0,0.5546719681908563,0.9376780185758513
2019-07-07,0.7921595917420552,0.0,0.5705765407554679,0.9593498452012383
2019-07-06,0.9083739271630712,0.0,0.48508946322067814,0.7221362229102167
2019-07-05,0.9213639526791928,0.18734177215189873,0.5427435387673967,0.6552321981424148
2019-07-04,0.9083739271630712,0.0,0.57455268389662,0.7642414860681114
2019-07-03,0.8879610299234516,0.0,0.4612326043737589,0.7339628482972136
2019-07-02,0.8898167478543261,0.0,0.4035785288270368,0.8807430340557275
2019-07-01,0.8114126652748782,0.0,0.4930417495029822,0.9014551083591331
2019-06-30,0.7650197170030155,0.015189873417721518,0.47117296222663896,0.6117956656346749
