avg_hourly_temperature,precipitation,avg_hourly_pressure_station,solar_radiation,date
0.836413415468857,0.0044313146233382564,0.43224699828473234,0.2250379034004765,2007-07-10
0.8238649326945015,0.16543574593796156,0.36020583190394717,0.2250379034004765,2007-07-09
0.7405886379192335,0.06351550960118167,0.36535162950257316,0.2250379034004765,2007-07-08
0.7154916723705225,0.0310192023633678,0.39622641509433976,0.2250379034004765,2007-07-07
0.7743554642938627,0.026587887740029542,0.41166380789022483,0.2250379034004765,2007-07-06
0.7599817476614192,0.0,0.4065180102915953,0.2250379034004765,2007-07-05
0.7132101300479124,0.016248153618906944,0.48027444253859386,0.2250379034004765,2007-07-04
0.7586128222678531,0.0,0.5814751286449393,0.2250379034004765,2007-07-03
0.6862879306411134,0.03397341211225997,0.6072041166380799,0.2250379034004765,2007-07-02
0.6285649098790782,0.0,0.5660377358490578,0.2250379034004765,2007-07-01
0.6522929500342232,0.016248153618906944,0.5197255574614061,0.2250379034004765,2007-06-30
0.6995208761122519,0.010339734121122598,0.5197255574614061,0.2250379034004765,2007-06-29
0.7718457677389916,0.0,0.45283018867924696,0.2250379034004765,2007-06-28
0.9591603924252794,0.0029542097488921715,0.4339622641509422,0.2250379034004765,2007-06-27
0.9306411133926533,0.0,0.5506003430531763,0.2250379034004765,2007-06-26
0.8341318731462468,0.0014771048744460858,0.5454545454545467,0.2250379034004765,2007-06-25
0.7175450604608715,0.0044313146233382564,0.5060034305317345,0.2250379034004765,2007-06-24
0.6456764772986539,0.0,0.4631217838765025,0.2250379034004765,2007-06-23
0.6650695870408396,0.005908419497784343,0.4288164665523162,0.2250379034004765,2007-06-22
0.6814966917636323,0.011816838995568686,0.42195540308748036,0.2250379034004765,2007-06-21
0.758156513803331,0.0,0.43224699828473234,0.2250379034004765,2007-06-20
0.8558065252110427,0.047267355982274745,0.40480274442538544,0.2250379034004765,2007-06-19
0.7768651608487338,0.0,0.5197255574614061,0.2250379034004765,2007-06-18
0.8293406342687657,0.0014771048744460858,0.4373927958833619,0.2250379034004765,2007-06-17
0.8697239333789641,0.0,0.44939965694682726,0.2250379034004765,2007-06-16
0.8428017339721652,0.0,0.5265866209262455,0.2250379034004765,2007-06-15
0.7910107232489163,0.0,0.5780445969125232,0.2250379034004765,2007-06-14
0.8213552361396304,0.0014771048744460858,0.564322469982848,0.2250379034004765,2007-06-13
0.8786219484371436,0.0,0.547169811320753,0.2250379034004765,2007-06-12
0.8227241615331965,0.0,0.5506003430531763,0.2250379034004765,2007-06-11
0.7793748574036048,0.0,0.5283018867924518,0.2250379034004765,2007-06-10
0.7467488021902806,0.0,0.5060034305317345,0.2250379034004765,2007-06-09
0.8033310517910107,0.05022156573116691,0.36878216123499286,0.2250379034004765,2007-06-08
0.6109970339949806,0.005908419497784343,0.4905660377358494,0.2250379034004765,2007-06-07
0.5496235455167694,0.0,0.42710120068610635,0.2250379034004765,2007-06-06
0.6285649098790782,0.025110782865583454,0.16981132075471805,0.2250379034004765,2007-06-05
0.7250741501254849,0.0709010339734121,0.21612349914236617,0.2250379034004765,2007-06-04
0.7472051106548027,0.06794682422451993,0.3636363636363633,0.2250379034004765,2007-06-03
0.782112708190737,0.0014771048744460858,0.43053173241852605,0.2250379034004765,2007-06-02
0.7973990417522245,0.03840472673559823,0.48027444253859386,0.2250379034004765,2007-06-01
0.7392197125256674,0.05465288035450517,0.5488850771869629,0.2250379034004765,2007-05-31
0.7627195984485512,0.03397341211225997,0.5763293310463133,0.2250379034004765,2007-05-30
0.698836413415469,0.0,0.6397941680960564,0.2250379034004765,2007-05-29
0.6616472735569245,0.0,0.5385934819897074,0.2250379034004765,2007-05-28
0.6059776408852384,0.09010339734121121,0.5265866209262455,0.2250379034004765,2007-05-27
0.7173169062286106,0.0,0.579759862778733,0.2250379034004765,2007-05-26
0.8562628336755647,0.0,0.5454545454545467,0.2250379034004765,2007-05-25
0.862194843714351,0.0,0.6312178387650107,0.2250379034004765,2007-05-24
0.7476614191193247,0.0,0.6826758147512884,0.2250379034004765,2007-05-23
0.6372347707049966,0.0,0.6809605488850785,0.2250379034004765,2007-05-22
0.5690166552589551,0.0,0.584905660377359,0.2250379034004765,2007-05-21
0.5573807894136437,0.011816838995568686,0.43224699828473234,0.2250379034004765,2007-05-20
0.64704540269222,0.0,0.48370497427101355,0.2250379034004765,2007-05-19
0.5363906000456309,0.0,0.6312178387650107,0.2250379034004765,2007-05-18
0.4830025096965549,0.0,0.6003430531732405,0.2250379034004765,2007-05-17
0.5083276294775269,0.08862629246676514,0.39108061749571377,0.2250379034004765,2007-05-16
0.6139630390143738,0.05465288035450517,0.3567753001715275,0.2250379034004765,2007-05-15
0.6265115217887292,0.04135893648449039,0.5677530017152677,0.2250379034004765,2007-05-14
0.5466575404973762,0.0,0.6449399656946824,0.2250379034004765,2007-05-13
0.5281770476842346,0.0,0.5969125214408244,0.2250379034004765,2007-05-12
0.7029431895961671,0.0,0.4476843910806174,0.2250379034004765,2007-05-11
0.809491216062058,0.0,0.4408233276157816,0.2250379034004765,2007-05-10
0.7855350216746521,0.0,0.4939965694682691,0.2250379034004765,2007-05-09
0.7465206479580198,0.0,0.5128644939965703,0.2250379034004765,2007-05-08
0.64932694501483,0.0,0.6843910806174982,0.2250379034004765,2007-05-07
0.5637691079169519,0.0,0.7907375643224697,0.2250379034004765,2007-05-06
0.5660506502395619,0.0,0.6603773584905674,0.2250379034004765,2007-05-05
0.5897786903947069,0.0,0.6449399656946824,0.2250379034004765,2007-05-04
0.5550992470910335,0.0,0.6518010291595182,0.2250379034004765,2007-05-03
0.5553274013232946,0.0,0.5231560891938258,0.2250379034004765,2007-05-02
0.515172256445357,0.0,0.48885077186963954,0.2250379034004765,2007-05-01
0.5509924709103354,0.12998522895125555,0.44939965694682726,0.2250379034004765,2006-11-30
0.47889573351585674,0.0,0.5763293310463133,0.2250379034004765,2006-11-29
0.32694501483002514,0.005908419497784343,0.7015437392795896,0.2250379034004765,2006-11-28
0.4401095140314853,0.029542097488921712,0.6466552315608922,0.2250379034004765,2006-11-27
0.432352270134611,0.0,0.6174957118353355,0.2250379034004765,2006-11-26
0.36002737850787137,0.0,0.6380789022298465,0.2250379034004765,2006-11-25
0.352041980378736,0.0,0.6809605488850785,0.2250379034004765,2006-11-24
0.35500798539812917,0.0,0.6809605488850785,0.2250379034004765,2006-11-23
0.33629933835272646,0.0,0.7735849056603783,0.2250379034004765,2006-11-22
0.30572667122975133,0.0,0.7753001715265846,0.2250379034004765,2006-11-21
0.30321697467488024,0.0,0.6020583190394504,0.2250379034004765,2006-11-20
0.33105179101072324,0.0,0.5077186963979443,0.2250379034004765,2006-11-19
0.3664156970111796,0.0,0.5042881646655211,0.2250379034004765,2006-11-18
0.4948665297741274,0.007385524372230428,0.2761578044596895,0.2250379034004765,2006-11-17
0.56787588409765,0.18168389955686853,0.2950257289879943,0.2250379034004765,2006-11-16
0.4731918777093315,0.022156573116691284,0.47684391080617416,0.2250379034004765,2006-11-15
0.4973762263289984,0.13589364844903987,0.409948542024015,0.2250379034004765,2006-11-14
0.4401095140314853,0.053175775480059084,0.5780445969125232,0.2250379034004765,2006-11-13
0.4010951403148529,0.0014771048744460858,0.6466552315608922,0.2250379034004765,2006-11-12
0.3988135979922428,0.06646971935007386,0.46483704974271234,0.2250379034004765,2006-11-11
0.44102213096052933,0.0,0.4751286449399643,0.2250379034004765,2006-11-10
0.5375313712069358,0.013293943870014771,0.2332761578044611,0.2250379034004765,2006-11-09
0.4914442162902122,0.053175775480059084,0.35506003430531763,0.2250379034004765,2006-11-08
0.4750171115674196,0.028064992614475624,0.5385934819897074,0.2250379034004765,2006-11-07
